"","time","sentsmooth","ARIMA","ARIMAX","ETS","ADL","VAR","FAVAR"
"2021-04-08","2021-04-08",0.24085766,0.229490688721985,0.150406437945545,0.232663118289572,0.19079778632588,0.309064853916027,0.255882573390353
"2021-04-09","2021-04-09",0.27116972,0.228782722445349,0.212304830417083,0.268226521209423,0.259005329669594,0.278414721741499,0.236241135055103
"2021-04-10","2021-04-10",0.2148681,0.212188583900394,0.224884177553841,0.219996947386643,0.263892779425025,0.220090910376577,0.219392972289103
"2021-04-11","2021-04-11",0.18606009,0.147174196503727,0.214696866156977,0.188615569251418,0.218184934497839,0.189012887651064,0.151430236369192
"2021-04-12","2021-04-12",0.071626998,0.0841276036304255,0.161676383587513,0.0830531560211558,0.166740936119746,0.0944040849589921,0.0848619696327811
"2021-04-13","2021-04-13",0.044619717,0.0823018325465908,0.100378847485272,0.0471296558023362,0.121153691951769,-0.0288321985059173,0.0427261891006293
"2021-04-14","2021-04-14",0.07686656,0.101300303455326,0.0860600494560596,0.0743108042022808,0.0840785284167599,0.0526691387016377,0.102643261155097
"2021-04-15","2021-04-15",0.12287351,0.159722668627747,0.0982408206683618,0.119449537798669,0.107091263045803,0.211438093430655,0.147534171907427
"2021-04-16","2021-04-16",0.1199697,0.131004047462679,0.146062653406922,0.119933247005222,0.164392641481971,0.110421571678853,0.123445138690853
"2021-04-17","2021-04-17",0.15440036,0.153656788887634,0.134468252418333,0.15195263887254,0.149141124621198,0.0408454155155952,0.16027304431171
"2021-04-18","2021-04-18",0.17518094,0.164211551034786,0.149689902245987,0.17354834008065,0.169596145699914,0.200348132408829,0.145018991420464
"2021-04-19","2021-04-19",0.15000556,0.153137157678405,0.161011237535423,0.151671533186163,0.179508324657027,0.172731629222022,0.149469708305481
"2021-04-20","2021-04-20",0.18124413,0.168762998847086,0.154938393452229,0.179134700005438,0.161966540308139,0.163106004067985,0.180221872945962
"2021-04-21","2021-04-21",0.16336416,0.156329483869782,0.165771500359749,0.164491006673969,0.167115304295073,0.17187027017188,0.164776098635093
"2021-04-22","2021-04-22",0.14125325,0.149235503609187,0.158309349140188,0.142909856367719,0.154333093518551,0.179326454067816,0.152857948436871
"2021-04-23","2021-04-23",0.13073809,0.127423717799154,0.151124956224363,0.131603774936621,0.145334974308897,0.0805656601405331,0.132968290556091
"2021-04-24","2021-04-24",0.12577307,0.138667271851006,0.132510559015142,0.12618808138853,0.111586321636341,0.0840488886924065,0.150193910795372
"2021-04-25","2021-04-25",0.16232166,0.165788270706046,0.137423196309306,0.159743259504215,0.142927903086411,0.199897653874367,0.174149680284668
"2021-04-26","2021-04-26",0.21815951,0.206566125610656,0.159800587589295,0.214094451406436,0.162379610493719,0.196254745429283,0.218004870796333
"2021-04-27","2021-04-27",0.25823468,0.234238531880084,0.196777000547961,0.253457188468758,0.198123241068864,0.247671770127025,0.238791132777277
"2021-04-28","2021-04-28",0.31495714,0.268245904718522,0.227060993511384,0.308484943782488,0.238908434906104,0.288478497705804,0.302200610723951
"2021-04-29","2021-04-29",0.41456071,0.342940649341682,0.261618470876521,0.406649957458342,0.277058335411073,0.313450847137517,0.350898182083753
"2021-04-30","2021-04-30",0.35934493,0.292281928081228,0.327520138118291,0.36327142183214,0.329995443230304,0.295561362504919,0.306745862124073
"2021-05-01","2021-05-01",0.34117392,0.278010284543653,0.300318942642294,0.343014845698591,0.295646462363797,0.228658701859695,0.304747374289576
"2021-05-02","2021-05-02",0.27775753,0.214939219363325,0.282277762295524,0.283520747929268,0.269656067201431,0.218231431687857,0.225541186898817
"2021-05-03","2021-05-03",0.18903646,0.182805158499263,0.227077602908539,0.194441763716428,0.215335699054167,0.207805232432183,0.198549001738819
"2021-05-04","2021-05-04",0.28398973,0.259203912010813,0.182331491791541,0.2782325684126,0.177231076770672,0.255919151253601,0.267342436776726
"2021-05-05","2021-05-05",0.25122479,0.227186436490919,0.248162030924129,0.253683242326198,0.262017631366117,0.280520354599823,0.247593355713705
"2021-05-06","2021-05-06",0.23423366,0.219670553697436,0.230243703144113,0.236270238935856,0.238015794048794,0.232565430307274,0.235736737020151
"2021-05-07","2021-05-07",0.18705948,0.140415706820752,0.220457731130382,0.18898745329814,0.228270577324634,0.144919207713818,0.155981901297716
"2021-05-08","2021-05-08",0.13168669,0.140696112470055,0.153181543056289,0.134763057434922,0.17998430469637,0.107680940606746,0.138027043899341
"2021-05-09","2021-05-09",0.13737048,0.154281457886765,0.141760823398958,0.137309064975165,0.138331096590838,0.154832043653584,0.165251167122495
"2021-05-10","2021-05-10",0.36257479,0.345908831744838,0.158759885279296,0.348244023616658,0.180431957361773,0.388824490289344,0.36568564761465
"2021-05-11","2021-05-11",0.36790204,0.328176598215038,0.312377599774016,0.366754349476714,0.347762743500609,0.340651736929951,0.324074880721962
"2021-05-12","2021-05-12",0.36928993,0.323040011856026,0.329596981750926,0.369136374513426,0.340036390090838,0.344701614325775,0.334768782703035
"2021-05-13","2021-05-13",0.40623012,0.293340595268113,0.328163720089657,0.403992000418267,0.331631083597419,0.32567264010357,0.280652510519753
"2021-05-14","2021-05-14",0.17054038,0.154636166970629,0.284507141802118,0.186065811471619,0.291435075022225,0.152111976278351,0.16447772125937
"2021-05-15","2021-05-15",0.17657058,0.189230919456179,0.174151119779695,0.178054629460159,0.188664957837131,0.160996206620948,0.192821602928978
"2021-05-16","2021-05-16",0.13739233,0.11704380155862,0.182225427768573,0.139948307529474,0.151211956924285,0.224680484604069,0.142948006320935
