"","time","sentsmooth","ARIMA","ARIMAX","ETS","ADL","VAR","FAVAR"
"2021-04-14","2021-04-14",0.07686656,0.157139319417895,0.150406437945545,0.232663118289572,0.19079778632588,0.282068707926427,0.153602750004741
"2021-04-15","2021-04-15",0.12287351,0.16747143824268,0.212304830417083,0.268226521209423,0.259005329669594,0.273793265633327,0.151574984089244
"2021-04-16","2021-04-16",0.1199697,0.162702787478455,0.224884177553841,0.220007917785662,0.263892779425025,0.241772136144844,0.146970667781779
"2021-04-17","2021-04-17",0.15440036,0.156868763240506,0.214696866156977,0.188615569251418,0.218184934497839,0.214145229804109,0.165646107810743
"2021-04-18","2021-04-18",0.17518094,0.151481755726897,0.161676383587513,0.0830126576743281,0.166740936119746,0.135494947205497,0.158538659276467
"2021-04-19","2021-04-19",0.15000556,0.143436558476739,0.100378847485272,0.0471296558023362,0.121153691951769,0.0668635761478142,0.141784281156255
"2021-04-20","2021-04-20",0.18124413,0.146166132031203,0.0860600494560596,0.0742674324936515,0.0840785284167599,0.0549484033860687,0.158290384604535
"2021-04-21","2021-04-21",0.16336416,0.150288034688281,0.0982408206683618,0.119449537798669,0.107091263045803,0.154693861068964,0.16720925068811
"2021-04-22","2021-04-22",0.14125325,0.150418525581369,0.146062653406922,0.119933247005222,0.164392641481971,0.0975876745008187,0.15371027245179
"2021-04-23","2021-04-23",0.13073809,0.15130286755849,0.134468252418333,0.15195263887254,0.149141124621198,0.116167876898114,0.168497947697935
"2021-04-24","2021-04-24",0.12577307,0.155241026745981,0.149689902245987,0.17354834008065,0.169596145699914,0.14349730714735,0.18230127309484
"2021-04-25","2021-04-25",0.16232166,0.154376725531649,0.161011237535423,0.151671533186163,0.179508324657027,0.149379020606028,0.175013884607228
"2021-04-26","2021-04-26",0.21815951,0.154287738061641,0.154938393452229,0.179134700005438,0.161966540308139,0.135021737924301,0.176210396257963
"2021-04-27","2021-04-27",0.25823468,0.156367787577838,0.165771500359749,0.164491006673969,0.167115304295073,0.127640148713737,0.172097924832859
"2021-04-28","2021-04-28",0.31495714,0.153085810718309,0.158309349140188,0.142909856367719,0.154333093518551,0.144576944173969,0.166335433567628
"2021-04-29","2021-04-29",0.41456071,0.151685932509824,0.151124956224363,0.131603774936621,0.145334974308897,0.119723054729009,0.178717148542006
