"","time","sentsmooth","ARIMA","ARIMAX","ETS","ADL","VAR","FAVAR"
"2021-04-09","2021-04-09",0.27116972,0.19567838038683,0.150406437945545,0.232663118289572,0.19079778632588,0.293473292464305,0.228238816664204
"2021-04-10","2021-04-10",0.2148681,0.222697307156704,0.216040068181873,0.267806390277417,0.266965835249627,0.313847801357655,0.260417133816638
"2021-04-11","2021-04-11",0.18606009,0.166377016883182,0.233925434886363,0.21662039139406,0.260297149507282,0.229079366711373,0.182839634015219
"2021-04-12","2021-04-12",0.071626998,0.169254462971042,0.205701724719821,0.186970734497142,0.224841023528811,0.172454287160749,0.143135936622772
"2021-04-13","2021-04-13",0.044619717,0.106377874477192,0.156370479887494,0.0747201441410572,0.182659895272148,0.0895474932976136,0.0926342074993281
"2021-04-14","2021-04-14",0.07686656,0.105001405271535,0.0895281971202914,0.045374530163368,0.130148006943903,-0.0365351519631598,0.0862029954648729
"2021-04-15","2021-04-15",0.12287351,0.142418938171464,0.0814439823210499,0.075990654170716,0.0983218986936754,0.150238013501904,0.135063780349311
"2021-04-16","2021-04-16",0.1199697,0.168390963068412,0.102532304312905,0.121821794776502,0.114666743555134,0.206458418439505,0.160186721183217
"2021-04-17","2021-04-17",0.15440036,0.13493773126471,0.154164622605531,0.120014325479691,0.144321249022411,0.0444261329794845,0.142608167812643
"2021-04-18","2021-04-18",0.17518094,0.14444728612595,0.138048620789773,0.153481470487781,0.142692548515483,0.0782692685374498,0.12722254963856
"2021-04-19","2021-04-19",0.15000556,0.174363190210062,0.145692828018195,0.174665896922697,0.161551129631181,0.159478779986875,0.149658707148517
"2021-04-20","2021-04-20",0.18124413,0.153389171950731,0.163923903244342,0.150594826424957,0.177652798245926,0.136357359909072,0.154187275045943
"2021-04-21","2021-04-21",0.16336416,0.156164381914037,0.163884943941237,0.180488771815001,0.166081461904456,0.170094040295697,0.1784959585547
"2021-04-22","2021-04-22",0.14125325,0.150333159161233,0.168894609757849,0.163612563603472,0.147148187558722,0.190571731372114,0.182506920030604
"2021-04-23","2021-04-23",0.13073809,0.150333314042267,0.149026771375429,0.141539580825718,0.143127689881742,0.121744879125614,0.155644392865924
