"V2","V3"
"21/01/2021",34.12
"22/01/2021",33.25
"25/01/2021",34.43
"26/01/2021",32.1
"27/01/2021",33.57
"28/01/2021",33.35
"29/01/2021",33.79
"01/02/2021",34.57
"02/02/2021",33.91
"03/02/2021",32.61
"04/02/2021",32.8
"05/02/2021",34.1
"08/02/2021",34
"09/02/2021",31.95
"10/02/2021",34.3
"11/02/2021",33.28
"12/02/2021",34.13
"17/02/2021",34.1
"18/02/2021",34.06
"19/02/2021",32.7
"22/02/2021",34.18
"23/02/2021",32.89
"24/02/2021",33.75
"25/02/2021",31.79
"26/02/2021",33.71
"01/03/2021",33.66
"02/03/2021",32.84
"03/03/2021",34.34
"04/03/2021",33.33
"05/03/2021",33.13
"08/03/2021",34.1
"09/03/2021",34.26
"10/03/2021",32.74
"11/03/2021",33.78
"12/03/2021",33.21
"15/03/2021",34.2
"16/03/2021",34.45
"17/03/2021",30.98
"18/03/2021",34.07
"19/03/2021",33.78
"22/03/2021",34.31
"23/03/2021",33.87
"25/03/2021",34.08
"26/03/2021",32.55
"29/03/2021",33.07
"30/03/2021",33.67
"31/03/2021",33.13
"05/04/2021",33.9
"06/04/2021",33.71
"07/04/2021",32.85
"08/04/2021",34.38
"09/04/2021",33.84
"12/04/2021",33.4
"13/04/2021",34.11
"14/04/2021",33.96
"15/04/2021",31.76
"16/04/2021",33.97
"19/04/2021",33.57
"20/04/2021",33.77
"21/04/2021",34.16
"22/04/2021",32.41
"23/04/2021",32.74
"26/04/2021",33.87
"27/04/2021",34.09
"28/04/2021",33.62
"29/04/2021",34.03
"30/04/2021",32.91
"03/05/2021",34.05
"04/05/2021",31.62
"05/05/2021",33.59
"06/05/2021",33.17
"07/05/2021",33.85
"10/05/2021",34.12
"11/05/2021",32.79
"12/05/2021",33.11
"13/05/2021",31.9
"14/05/2021",33.85
"17/05/2021",34.11
"18/05/2021",32.79
"19/05/2021",33.98
"20/05/2021",34.06
"21/05/2021",33.01
"26/05/2021",33.77
"27/05/2021",32.62
"28/05/2021",33.8
"31/05/2021",33.81
"01/06/2021",33.47
"02/06/2021",34.27
"03/06/2021",33.74
"04/06/2021",33.68
